head_of_duty,year,quantity_of_measure,volume
Bookmaking Licences number issued,2010,Number Issued,473
Bookmaking Premises number issued,2010,Number Issued,1223
Beer Import,2009,litres of alcohol,6375881
Beer Home,2009,litres of alcohol,13917526
Cider and Perry Import,2009,litres   ,9314948
Cider and Perry Home,2009,litres   ,58726795
Spirits Import,2009,litres of alcohol,3383126
Spirits Home,2009,litres of alcohol,3617722
Wine up to 5.5 percent,2009,litres   ,4736540
Wine Still between 5.5 and 15 percent,2009,litres   ,67260365
Wine Still over 15 percent,2009,litres   ,1002143
Wine Sparkling over 5.5 percent,2009,litres   ,1764974
Tobacco Cigarettes,2009,thousands,4607146
Tobacco  Cigars,2009,kilograms,38168
Fine Cut Tobacco,2009,kilograms,219985
Tobacco Other,2009,kilograms,27598
MHLO Leaded Petrol ,2009,thousand litres,0
MHLO Unleaded Petrol,2009,thousand litres,2117045
MHLO SuperPlus Unleaded,2009,thousand litres,0
MHLO Aviation Gasoline,2009,thousand litres,1103
Autodiesel,2009,thousand litres,2714350
Marked Gas Oil (MGO),2009,thousand litres,1274063
Kerosene,2009,thousand litres,1253341
Fuel Oil used in manufacture of Alumina,2009,thousand litres,137818
Residual Fuel Oils,2009,thousand litres,140309
Liquefied Petroleum Gas Other,2009,thousand litres,152764
Liquefied Petroleum Gas Auto ,2009,thousand litres,521
Bookmaking Licences number issued,2009,Number Issued,641
Bookmaking Premises number issued,2009,Number Issued,1681
Beer Import,2008,litres of alcohol,5739324
Beer Home,2008,litres of alcohol,15966298
Cider and Perry Import,2008,litres   ,10151859
Cider and Perry Home,2008,litres   ,62121901
Spirits Import,2008,litres of alcohol,3885116
Spirits Home,2008,litres of alcohol,4702231
Wine up to 5.5 percent,2008,litres   ,4121308
Wine Still between 5.5 and 15 percent,2008,litres   ,72997708
Wine Still over 15 percent,2008,litres   ,1037875
Wine Sparkling over 5.5 percent,2008,litres   ,2140627
Tobacco Cigarettes,2008,thousands,4940567
Tobacco  Cigars,2008,kilograms,44290
Fine Cut Tobacco,2008,kilograms,128502
Tobacco Other,2008,kilograms,25971
MHLO Leaded Petrol ,2008,thousand litres,0
MHLO Unleaded Petrol,2008,thousand litres,2310390
MHLO SuperPlus Unleaded,2008,thousand litres,302
MHLO Aviation Gasoline,2008,thousand litres,1743
Autodiesel,2008,thousand litres,2959933
