commodity_and_head_of_duty,year , net_receipts_ 
Carbon Aviation Gasoline,2012,48549
Carbon Kerosene,2012,40412885
Carbon Marked Gas Oil,2012,54721071
Carbon Fuel Oil,2012,2319299
Carbon Other LPG,2012,6516147
Carbon Auto LPG,2012,25094
Carbon Natural Gas,2012,44510054
Electricity Tax,2012,7054083
Vehicle Registration Tax,2012,379345821
Excise Duty on Premises or Activities - Traditional Betting Duty,2012,27087826
Excise Duty on Premises or Activities - Bookmakers Licences,2012,126500
Excise Duty on Premises or Activities - Bookmaking Premises,2012,434110
Excise Duty on Premises or Activities - Clubs,2012,296680
Excise Duty on Premises or Activities - Public Dancing Licences,2012,4603320
Excise Duty on Premises or Activities - Licences,2012,14469391
Excise Duty on Premises or Activities - An Post,2012,4377
Excise Duty on Premises or Activities - Air Travel Tax,2012,33614313
Alcohols Beer - Import,2011,103997772
Alcohols Beer - Home,2011,203330069
Alcohols Cider and Perry - Import,2011,6489351
Alcohols Cider and Perry - Home,2011,37465244
Alcohols Spirits - Import,2011,128833272
Alcohols Spirits - Home,2011,118446033
Alcohols Wine,2011,221986492
Alcohols Made Wine,2011,8975248
Tobacco Cigarettes,2011,1056753195
Tobacco Cigars /Fine Cut / Other Smoking,2011,69356535
Mineral Hydrocarbon Light Oils - Import ,2011,740212365
Mineral Hydrocarbon Light Oils - Home ,2011,252403872
Hydrocarbon Heavy Oils  - AutoDiesel,2011,1078255205
Hydrocarbon Heavy Oils - Marked Gas Oil,2011,50621974
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2011,1267474
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2011,28905
Carbon Auto Diesel,2011,97534128
Carbon Petrol,2011,60105971
Carbon Aviation Gasoline,2011,36570
Carbon Kerosene,2011,40522911
Carbon Marked Gas Oil,2011,48946576
Carbon Fuel Oil,2011,2333380
Carbon Other LPG,2011,5614314
Carbon Auto LPG,2011,11946
Carbon Natural Gas,2011,43125262
Electricity Tax,2011,6856173
Vehicle Registration Tax,2011,388353746
Excise Duty on Premises or Activities - Traditional Betting Duty,2011,27096522
Excise Duty on Premises or Activities - Bookmakers Licences,2011,112500
Excise Duty on Premises or Activities - Bookmaking Premises,2011,400900
Excise Duty on Premises or Activities - Clubs,2011,264050
Excise Duty on Premises or Activities - Public Dancing Licences,2011,8674730
Excise Duty on Premises or Activities - Licences,2011,15629316
Excise Duty on Premises or Activities - An Post,2011,3194
Excise Duty on Premises or Activities - Air Travel Tax,2011,47880527
Alcohols Beer - Import,2010,104629011
Alcohols Beer - Home,2010,215478366
Alcohols Cider and Perry - Import,2010,6343639
Alcohols Cider and Perry - Home,2010,37661885
Alcohols Spirits - Import,2010,123366123
Alcohols Spirits - Home,2010,120120046
Alcohols Wine,2010,210869065
Alcohols Made Wine,2010,7950294
Tobacco Cigarettes,2010,1100902733
Tobacco Cigars /Fine Cut / Other Smoking,2010,58734198
Mineral Hydrocarbon Light Oils - Import ,2010,643966089
Mineral Hydrocarbon Light Oils - Home ,2010,337850479
Hydrocarbon Heavy Oils  - AutoDiesel,2010,1039977463
Hydrocarbon Heavy Oils - Marked Gas Oil,2010,51044589
Hydrocarbon Heavy Oils - Alumina Manufacture & Residual Fuel Oils,2010,1930005
Gaseous Hydrocarbons in Liquid Form - Auto LPG ,2010,28013
Carbon Auto Diesel,2010,98405528
Carbon Petrol,2010,65089700
Carbon Aviation Gasoline,2010,38809
Carbon Kerosene,2010,16991491
Carbon Marked Gas Oil,2010,27034766
